word,count
국밥,1
정감,1
별거,1
팀,1
오세용,1
여름휴가,1
신랑,1
쪽지,1
관광객,1
장단점,1
자리,1
직행,1
환승,1
바탕,1
콩나물,1
재미,1
변동,1
군요,1
전화,1
만두,1
다우,1
케이크,1
뷔페,1
타운,1
월드컵,1
가는대,1
마감,1
축구,1
남녀,1
비게,1
혼숙,1
쏘,1
카,1
선착순,1
다면,1
종류,1
환급,1
콘,1
티,1
기프,1
불가,1
아라리,1
이건,1
추,1
욤,1
주한,1
옥마,1
술값,1
횡설수설,1
약간,1
장터,1
주송,1
정원,1
천주교,1
정동,1
멀,1
킹,1
트레,1
단체,1
집들이,1
광범위,1
취사,1
요청,1
조건,1
대충,1
음료,1
정확,1
천동,1
다랭이,1
아무것,1
저번,1
이용한,1
덕분,1
러스,1
모란,1
독일,1
굴,1
흥미,1
책,1
보리암,1
상당,1
만족,1
장점,1
전한옥,1
너댓,1
또마,1
어딘가요,1
애,1
치킨,1
동의,1
전환,1
자격증,1
이것저것,1
항목,1
가정,1
중점,1
동시,1
전전주,1
초등학생,1
효자동,1
사절,1
현장,1
결제,1
예약금,1
방지,1
해설,1
전주곡,1
스토리,1
기행,1
바,1
신시가지,1
한복남,1
인생,1
샷,1
다수,1
존재,1
족,1
